iter	Passed	Remaining
0	98	98662
1	196	97968
2	288	95916
3	379	94600
4	468	93305
5	563	93294
6	652	92598
7	744	92291
8	833	91732
9	921	91188
10	1012	91077
11	1095	90232
12	1181	89689
13	1272	89594
14	1360	89333
15	1451	89258
16	1540	89087
17	1625	88696
18	1723	88987
19	1810	88701
20	1898	88499
21	1986	88312
22	2076	88199
23	2163	87967
24	2250	87773
25	2342	87755
26	2433	87687
27	2520	87513
28	2613	87504
29	2699	87280
30	2783	87004
31	2868	86767
32	2957	86663
33	3047	86581
34	3137	86504
35	3236	86659
36	3324	86526
37	3410	86341
38	3495	86123
39	3586	86081
40	3674	85953
41	3761	85790
42	3846	85604
43	3938	85573
44	4030	85534
45	4115	85350
46	4199	85152
47	4286	85014
48	4380	85016
49	4475	85032
50	4576	85162
51	4662	85004
52	4751	84899
53	4838	84769
54	4927	84659
55	5012	84500
56	5103	84433
57	5194	84358
58	5287	84337
59	5379	84276
60	5468	84183
61	5566	84220
62	5656	84122
63	5743	84005
64	5834	83920
65	5919	83763
66	6005	83626
67	6098	83590
68	6189	83508
69	6273	83352
70	6360	83223
71	6450	83144
72	6541	83071
73	6635	83031
74	6726	82956
75	6817	82886
76	6907	82801
77	6993	82666
78	7081	82555
79	7171	82471
80	7257	82344
81	7345	82234
82	7435	82152
83	7523	82043
84	7611	81934
85	7698	81819
86	7794	81794
87	7883	81699
88	7966	81539
89	8051	81412
90	8143	81340
91	8227	81203
92	8323	81177
93	8419	81153
94	8519	81158
95	8603	81014
96	8688	80885
97	8772	80746
98	8859	80634
99	8946	80516
100	9036	80436
101	9126	80345
102	9212	80225
103	9295	80082
104	9386	80011
105	9474	79907
106	9558	79775
107	9642	79638
108	9742	79635
109	9833	79560
110	9917	79430
111	10008	79352
112	10092	79224
113	10171	79054
114	10268	79022
115	10357	78930
116	10446	78839
117	10535	78749
118	10624	78658
119	10711	78552
120	10806	78501
121	10898	78431
122	10992	78374
123	11108	78478
124	11201	78409
125	11298	78369
126	11390	78299
127	11479	78202
128	11570	78120
129	11666	78073
130	11754	77974
131	11866	78029
132	11974	78058
133	12064	77969
134	12150	77851
135	12246	77799
136	12341	77743
137	12427	77625
138	12522	77566
139	12611	77468
140	12700	77374
141	12784	77248
142	12869	77124
143	12959	77036
144	13053	76970
145	13142	76876
146	13233	76791
147	13335	76768
148	13422	76662
149	13516	76592
150	13622	76591
151	13716	76525
152	13806	76434
153	13907	76400
154	13997	76308
155	14094	76253
156	14183	76155
157	14272	76061
158	14369	76002
159	14461	75925
160	14554	75847
161	14650	75784
162	14744	75713
163	14838	75642
164	14931	75562
165	15015	75439
166	15101	75324
167	15200	75276
168	15289	75181
169	15376	75071
170	15467	74986
171	15551	74863
172	15635	74743
173	15734	74694
174	15829	74624
175	15930	74585
176	16015	74469
177	16104	74370
178	16195	74284
179	16287	74197
180	16377	74105
181	16470	74025
182	16560	73934
183	16648	73831
184	16739	73745
185	16832	73665
186	16917	73549
187	17001	73430
188	17092	73343
189	17174	73216
190	17264	73125
191	17355	73039
192	17438	72917
193	17527	72820
194	17612	72707
195	17723	72702
196	17814	72615
197	17906	72528
198	17989	72411
199	18083	72334
200	18170	72228
201	18252	72107
202	18335	71986
203	18419	71872
204	18506	71769
205	18592	71661
206	18679	71560
207	18766	71456
208	18855	71362
209	18950	71289
210	19042	71207
211	19125	71088
212	19210	70981
213	19309	70923
214	19396	70820
215	19487	70731
216	19573	70626
217	19656	70512
218	19743	70411
219	19825	70291
220	19909	70176
221	19996	70079
222	20082	69974
223	20173	69887
224	20266	69805
225	20354	69710
226	20449	69636
227	20543	69558
228	20636	69477
229	20728	69393
230	20826	69331
231	20915	69239
232	21006	69151
233	21101	69076
234	21189	68979
235	21284	68904
236	21370	68801
237	21457	68701
238	21542	68594
239	21633	68507
240	21727	68426
241	21811	68317
242	21899	68221
243	21986	68122
244	22073	68023
245	22157	67913
